Index,comments,cleanliness,location,luxury,family_friendly,cleanliness_benjamin,cleanliness_mirnesa,location_benjamin,location_mirnesa,luxury_benjamin,luxury_mirnesa,family_friendly_benjamin,family_friendly_mirnesa
5653,"My co-workers and I made reservations last minute on the day of to stay here.  Joanna was very accommodating and was a pleasure to work with.  Unfortunately, while we were just outside of Amsterdam, our work called us back and we could not make the trip.  Joanna was so gracious and refunded a good portion of our money, even though she had to go out of her way to fit us in last minute.  She was a pleasure to deal with and quite the professional!  I will definitely stay here next time I am in Amsterdam.",0,0,0,0,0,,0,,0,,0,
3999,"Très joli bâteau ! Bien situé : près de l'hypercentre mais un peu en retrait, c'est donc très calme ! 
<br/>Peter est très sympa et accueillant avec des petits cadeaux en prime !
<br/>La petite terrasse est parfaite pour prendre l'apéro et la chambre bien qu'un peu petite est très bien rénovée et très commode.
<br/>",0,1,0,0,0,,0,,0,,0,
6033,"Sonja and Michael were excellent hosts. Staying on the houseboat was a great experience and much better than a regular hotel!<br/> <br/>The accommodation was faultless, clean and beautiful. Very nice touches with flowers and foods provided.<br/><br/>We would not hesitate to stay again when in Amsterdam and would highly recommend.",1,0,0,0,1,,0,,0,,0,
582,"What an honor staying with one of the first hosts in Amsterdam. You can clearly see how much he cares about his guests with how meticulously clean the place is and how he has the place set up. He has thought about the whole guest experience end to end and it seems like he has perfected it over the years.
<br/>
<br/>he was a wonderful host and the place was perfect! ",1,0,0,0,1,,0,,1,,0,
9930,Nice break from the city. Everything on the boat is brand new and very neat. The host was extremely friendly and helpful. Would absolutely recommend! ,1,0,0,0,1,,0,,0,,0,
7051,"Appartement propre et confortable, idéal pour un week-end à 5-6, bien placé et conforme à nos attentes dans un quartier calme !",1,0,0,0,0,,0,,0,,0,
8158,"Die Unterkunft war wie beschrieben und ordentlich. Das einzige negative war, das wir vor der Unterkunft standen (es hat geregnet) und wegen dem Tür-Code nach telefonieren mussten.",0,0,0,0,0,,0,,0,,0,
9896,"We were very warmly greeted and welcomed, shown around and had very nice conversation and we obtained some terrific dinner recommendations.  
<br/>
<br/>The room is as cool as it looks in the photos and incredibly comfortable.  We also loved the location in the Jordaan District with incredible shops (especially the Nines Streets), restaurants and walkability.  Unfortunately, our stay was so brief that we did not get to really enjoy our hosts or the neighborhood.  This is one spot we very much would like to return to and would recommend to anyone.",0,0,0,0,0,,1,,0,,0,
2249,Was super locatie. . Steven was top en gezellig. .voor herhaling vatbaar ,0,0,0,0,0,,0,,0,,0,
4640,Great host and perfect location - close to everything you need but not too busy or touristy. Would definitely stay here again if I come back to Amsterdam,0,1,1,0,0,,1,,0,,0,
9485,"The houseboat was exactly as pictured: light, beautiful and clean. We stayed for two nights and Harry was very accommodating with us checking out late the last day. The extras provided like the coffee, tea and bikes were a huge plus. Communication with Harry was easy and I would definitely recommend the houseboat Nova to anyone traveling to Amsterdam. ",1,0,0,0,1,,0,,1,,0,
4947,"Wir hatten 4 wunderbare Tage auf Peters Wohn-Boot. Die Lage ist optimal: sehr ruhig und trotzdem zentral. Das Boot ist zwar klein, aber sehr liebevoll und zweckmäßig eingerichtet. Peter ist ein aufmerksamer und sehr hilfsbereiter Gastgeber.",0,1,0,0,0,,0,,0,,0,
9920,"Erik was an excellent host! He was very quick to respond and very friendly. The location was very close to Amsterdam Central, a 15 minute walk from the train station, surrounded by restaurants and stores and coffeeshops. There was a basket of breakfast items right outside our room that made a great start to the day. We highly recommend staying here to anyone visiting Amsterdam!! It definitely helped make our first experience a great one.",0,1,1,0,0,,1,,1,,0,
1963,Boat is a unique experience and in a perfect location! Hosts were lovely. The boat does need some updating and doesn’t quite match the photos! But the location is beautiful and central,0,1,0,0,0,,1,,0,,0,
8243,"Really clean and comfortable room on the water. Hosts were very accommodating, would definitely stay here again!",1,0,0,0,1,,0,,0,,0,
6590,"Hi,<br/>my wife an I had really beautiful days in Amsterdam. Joyce' apartment is well located, either you take a bus to the center ( 15 min) or you walk ( 35-40 min) and enjoy the park or the streets with the amazing buildings.  Joyce is a wonderful host and her apartment has everything what you need and in addition it has very tasteful furniture. Joyce welcomed us with coffee, juice and cookies. She even put flowers in the living room and sleeping room. She prepared helpful information and shared a map, where her personal favorite places of the city where marked. So we tried a lot of her recommendations and had the best apple pie in the city. We totally recommend her apartment and Joyce as host. Just perfect. Always again :)<br/><br/>BR<br/>Rudolf",0,1,1,0,0,,1,,1,,0,
8847,Beautiful apartment<br/>Great location<br/>Dorine gave lots of great tips for the area too!,0,1,0,0,0,,1,,0,,0,
321,"We had a great time, with plenty of space. Dan could not have been more helpful. He had a problem with the pump the first evening which meant that we could not use the bath or WC the first night. However, considering it was a bank holiday, Dan worked all evening to fix the problem. We were very comfortable and couldn’t have wished for a better position to see King’s Day. One minor gripe was that the bedroom door proved impossible to shut. However, all in all we would recommend this a special place to stay in Amsterdam.",0,1,0,0,0,,0,,0,,0,
2678," Wir hatten ein wunderbares Wochenende, Lydia ist ein klasse Gastgeberin, sie hatte alles perfekt vorbereitet. Das Hausboot liegt super zentral, alles ist fussläufig zu erreichen.. Nächstes Mal Amsterdam definitiv wieder auf dem Hausboot. ",0,1,0,0,0,,0,,0,,0,
4625,Great place! Right near so many things. It is loud at night but that was to be expected based on other reviews. I’d stay again! Great location for the value.,0,1,1,0,0,,1,,0,,0,
4949,"We had a wonderful experience in Amsterdam and staying at the KeizerInn ship was a significant part of our experience. We felt very welcomed, the location was excellent:  quiet, comfortable, close to sites, and very safe.  It was especially meaningful to stay on a canal boat in this lovely city. We would highly recommend the KeizerInn to other travelers to Amsterdam!",0,1,0,0,0,,1,,0,,0,
8328,"Location was ideal and close to city center. This was a perfect getaway from the busy touristy parts of Amsterdam. The house was so clean, calm and serene. The garden was a nice treat! The hosts couldn’t have been better.",1,1,1,0,1,,1,,1,,0,
3337,"It was wonderful, thank you!",0,0,0,0,0,,0,,0,,0,
5589,"Cosy, bijou, genuine boat cabin, in a perfect location, great neighbours (Moor Hens, Ducks and Herons), quite spot, perfect watching dog walkers by the botanical gardens. Beautiful city, and Peter was an excellent host, and even helped us with printing our boarding passes.",0,1,1,0,0,,1,,0,,0,
251,"Fantastic place to stay. Quiet area of town with shops and cafe very close. 20min walk to museums and town centre.<br/>I would defiantly recommend this magnificent boat to all. ",0,1,1,0,0,,1,,1,,0,
3973,"Thanx again, Edwin, you were really welcoming and helpful, wouldnt really know if there is anything you should change, really. Just keep it up! Stay who you are.<br/>Place is also nice and clean, no complaints here either. And really close to... everything :) [sure, street below is crowded on weekends; for me that was not a problem at all]",1,1,0,0,1,,1,,0,,0,
6630,"Had a lovely stay at Amsterdam. The house was comfortable for our family - we had two adults and two children aged 12 and 13. The house is in a quiet part of the city, with a couple of supermarkets around 5 min walk from it. The best way to get to the city centre was to take a bike ride (under 10 min) to a free ferry (5min) that takes you across a narrow strip of water to the central station in Amsterdam. All in all, were really happy with everything and would definitely recommend.",0,1,0,1,0,,1,,0,,1,
5547,"Es war ein kurzer, aber sehr schöner Aufenthalt mit unserem Kind. Den Abend haben wir auf der Bootsterasse ausklingen lassen und die Umgebung war schön ruhig. Unser kleiner fand das Boot klasse ;)",0,0,0,0,0,,0,,0,,0,
35,"We loved our stay in Derk's barge. It was so very comfortable and warm, with plenty of room. Lovely hot shower. It was very handy to transport and we had no difficulty finding the local bakery for our croissants. Derk very kindly waited up til our midnight arrival so he could meet us and show us around, and also showed us the rest of the barge which still has its original features.  Would readily recommend Derk's barge and hope we can return some day. We are a retired couple from New Zealand and it was great to have something so different to what we can find in our country.",1,1,0,1,0,,1,,1,,0,
8362,"A wonderful place to stay-- Cornélie's apartment is comfortable and charming, with plenty of space and lovely views off of the balcony. The apartment is in an ideal location, quiet and residential but a very short walk to the museum quarter or De Pijp. We were greeted by Femke, who was friendly and helpful, and she and Cornélie stayed in touch during the trip. A true gem-- highly recommended!",0,1,1,0,0,,1,,1,,0,
1513,"fantastische plek om te verblijven in Amsterdam! Heel rustig, en toch vlakbij het hart van de stad (onze vouwfietsen kwamen goed van pas). <br/>Het is een verrassende locatie, het dobberen en wiegen geeft rust. De kleine kajuit is gezellig en modern ingericht met alle basis-uitrusting. <br/>Topplek om te onthouden/terug te keren!",0,0,1,0,0,,0,,0,,0,
9317,"The place is such a nice place! Harry and Anna were so welcoming and hospitable, they even helped  us out to get around. I can't thank them enough for all their help. High recommend this place if your planning to have a short stay in amsterdam! Thank you Harry and Anna for having us! ",0,0,0,0,0,,0,,0,,0,
39,"This houseboat is the perfect place to stay in Amsterdam. Very quiet and peaceful and close to the city center. The houseboat in itself is as stated: very spacious, well furnished and comfortable. Derk was great as a host. At check-in, we came very early in the morning to leave our luggage and did the same at check-out....very convenient. <br/>Cécile ",1,1,0,0,1,,1,,0,,0,
4819,"Hey guys, this place is just amazing! Location-wise is just fantastic, located right in the middle of the city and everything is just so accessible, a grocery shop just 2 minutes away and loads of restaurants and cafes right outside the door. Edwin is just such an amazing host and made my entire stay so comfortable and relaxing. He's extremely welcoming and hospitable. I forgot to bring my plug adapter with me and he borrowed me his phone charger for the whole of my stay and was so grateful for that, especially when it was already so late and the electronics store were already closed. Definitely, would 100% recommend you to stay here! Although do bear in mind that it is located on a street with cafes and coffeeshops that stay open till super late and that it can get quite noisy at night but it was fine with me because I sleep like a log.",0,1,0,0,0,,1,,0,,0,
3465,"Séjour impeccable.<br/>Noriko est très simpatique et très disponible.<br/>L'appartement est bien situé (5min du red light district, 10min de la gare, 10min de la place DAM).<br/>C'est un appartement vraiment typique d'Amsterdam, il y a tout ce dont on a besoin et la terrasse c'est vraiment le petit plus pour les jours de beau temps.<br/>Appartement très accueillant, où on se sent bien.",1,1,1,0,1,,1,,1,,0,
1760,"It is extremely clean, attractive and safe.  It is at the end of a pier where you can watch all the boats go by; from gigantic cruise ships to tugboats to schooners to the ferries and more.<br/>It is close to the train station and I always walked, but there is a bus. <br/>Els left a few snacks which were very welcome.  There is a small frig and microwave and coffee & tea.<br/>With all the boats going by, you would think kit was noisy, but very quiet day or night.<br/>I want to return again & again.",1,1,0,0,1,,1,,0,,0,
2304,"Excellent location, excellent accommodation, excellent host. Will definitely return.",0,1,0,0,1,,1,,0,,0,
3723,Amsterdam was a great city to visit! We felt like we knew the place by the time we left! We also took a lovely trip to the North Sea and it was spectacular!,0,0,0,0,0,,0,,0,,0,
8284,"Margot was there to greet us and answered all our questions.  She recommended a restaurant which was excellent.  There was a good variety of fresh food for our breakfast for the three days we were in Amsterdam.<br/>The studio apartment is in an excellent location, close to the Markt, train station and restaurants/bars/cafes.",0,1,1,0,0,,1,,0,,0,
4993,"We were only in Amsterdam for 2 nights, but wish we would have had more time on this wonderful boat!  The space was beautiful (plenty of space for 2 people), and in a very convenient location near the Jordaan, and Sonja provided more than everything we needed for our stay.  She even had a bottle of champagne waiting for us when we arrived!    The 2 bikes included with the rental were perfect to get us around town, and the tram stop near the dock took us directly to the museum district (Van Gogh, etc.).  I would highly recommend to anyone traveling to Amsterdam, and would stay again if I return.  ",0,1,1,0,0,,1,,1,,0,
8127,"Margot was the perfect host. We thoroughly enjoyed our stay in her cozy modern studio. It was spacious, clean, well-appointed, and on a quaint tree-lined road. Margot was there to greet us and filled the apartment with local snacks and a variety of breakfast items. She was so nice and helpful. We really can't recommend her enough. We would stay there again in a heartbeat! ",1,0,1,0,1,,1,,0,,0,
3032,Lydia and her houseboat are beautiful and sweet. You can't beat the location or the price. We stayed here for King's Day and had a wonderful time. It's close to everything but also very quiet. The space is perfect for 2 people. We were in town on our honeymoon and Lydia brought chocolates and champagne as soon as she heard. It was an outstanding trip and we will be staying here again! Thanks Lydia for making our stop in Amsterdam outstanding. ,0,1,1,0,0,,1,,0,,0,
7938,Fantastic apartment close to the great attractions in Amsterdam and the RAI Conference centre. Jan's advice on places to eat and visit helped a lot on my visit to this beautiful city. I highly recommend it and thanks Jan for your help.,0,1,0,0,0,,1,,0,,0,
3039,Ideal room for a weekend break,0,0,0,0,0,,0,,0,,0,
9655,"Muy buena recepción por parte de Shawna. Estuvimos muy cómodos disfrutando nuestra estadía. El lugar es muy tranquilo y cercano al centro de la ciudad.Muy buena experiencia.<br/>",0,0,0,0,0,,0,,0,,0,
2545,"Myself and my girlfriend went to Amsterdam for a weekend and where better to stay in Amsterdam than a canal boat! The pictures don't do the boat justice, it has everything you could possibly need (including an umbrella which came in very handy!). The location was perfect, right next to tram and metro and about a 5 minute walk to Dam. We're already planning our next trip back!",0,1,1,0,0,,1,,1,,0,
2592,"everything was perfect, great place to be, great location, clean and cosy..... <br/>not for later, they should propose bicycle....;)",1,1,0,0,1,,1,,0,,0,
1188,"When I got there he yelled at me for being late 1 hour. I apologize and tried to talk him that our flight was delayed 45 mins, and then it tooks is a bit to find internet to find the location of the place. He talked again at me and told me that I should've called or sent a message. Very rude!",0,0,0,0,0,,0,,0,,0,
7966,"The place was really nice, very great for a weekend",0,0,0,0,0,,0,,0,,0,
6077,Near from everything. Perfect place to discover Amsterdam !,0,1,0,0,0,,1,,0,,0,
107,"Definitely would have liked to stay longer - great communication, excellent location and view.",0,1,0,0,0,,1,,0,,0,
1315,"We loved this houseboat!!! It was our first time in Amsterdam and being right on the canal/Amstel River could not have been better! Having the terrace on the deck with chairs/table overlooking the river was incredible. Could not have imagined a better way to experience the canals, right in the middle of it without having to take a canal tour. We had a couple drinks up there and waved to the boats going by -- a lot of fun. We were a little nervous about what the houseboat would be like, but it was very close to the photos and was just perfect for our group of 4. I think it could be tight with a group larger than 4 for sleeping purposes since it was just the one bedroom with a queen size bed and another bedroom with 2 small twin beds. The living room has an L-shaped couch but I'm not sure that it was a pull out, so I think 4 would be the max amount of people. However, it was still quite spacious and clean, with nice working facilities (we were nervous the bathroom facilities wouldn't be full-sized or work well but they were just like a regular apartment). I was really surprised by how big the living/kitchen area felt. Daan and Monica were both very accommodating and we were able to leave our bags at Daan's boat (just a couple boats down) on our last day, which allowed us to continue exploring the city since our flight wasn't until that evening. That was a big plus for us because the one thing you don't always get with AirBNB vs a hotel is somewhere to check your bags, so that was very good for us. A great experience and I think it made Amsterdam the highlight of our trip to Europe! Highly recommend!",1,1,1,1,1,,1,,1,,1,
8187,Great. Was very quiet. Will come again.,0,0,0,0,0,,0,,0,,0,
2753,"We stayed in this apartment a few days ago. Edwin and his crazy cat are great hosts!The location is super, just 10 minutes walk from the center. However it can be a bit noisy in the evening.I definitely reccommend it",0,1,0,0,0,,1,,0,,0,
9753,"Meine drei Freundinnen und ich hatten einen wunderschönen Aufenthalt in dieser besonderen Unterkunft. Wir mochten die Dachterrasse sehr. Und haben alle gut geschlafen! Die Anbindung zur Innenstadt war auch sehr gut mit den Straßenbahnen. Leider war es etwas regnerisch, so dass wir uns nicht auf die Fahrräder getraut haben. Und unser Aufenthalt war definitiv ein bisschen zu kurz, um das Hausboot voll auszukosten! Nächstes Mal. :-)",0,0,0,0,0,,0,,0,,0,
6231,"Even though we would have loved to have more time in Amsterdam, this was a great and unique place to stay for a short trip. It is in a good location, it is cozy and Peter is a great host!",0,1,0,0,0,,1,,0,,0,
2876,"Gemütliches  Appartement mit kleinem Garten, gut ausgestattet in bester Lage. Super nette Gastgeber, wir haben uns sehr wohl gefühlt!!!<br/>",0,0,0,0,0,,0,,0,,0,
5323,"This apartment is so lovely, and it couldn't be in a better neighborhood to explore the city, everything is at your doorstep.  Joanna was in constant contact before, during and after our stay and was always willing to call us cabs, anything to ensure our stay was easy, comfortable and enjoyable.  The apartment is very clean, comfortable beds, large bathrooms and bedrooms, very quiet for sleeping.  I cannot say enough great things about our stay and our hosts. We certainly would rent again if we are ever lucky enough to return to Amsterdam!",1,0,0,0,1,,1,,0,,0,
799,I stayed in Daniels place for a few nights in November. It's about 15 minutes bus ride from Amsterdam central and a five minute walk. The room is as described. Daniel was very helpful (but leaves you in peace if you want that too) and I would recommend his place if you are not looking for a place for yourself. Thanks!,0,1,0,0,0,,1,,0,,0,
3570,"This is a lovely, very stylish & light flat in a great location.  Nice neighbourhood & quiet street,  with really fine shops, cafes and restaurants just a few minutes walk away and very close to the museum quarter.  Charlie was really friendly and quick to help out with anything.  The only issue we found was that Coco the cat didn't really take to us over the weekend, she scratched and was very unpredictable and I would be hesitant if you have small children.  You might have better luck than us though.",0,1,1,1,0,,1,,1,,1,
2894,very central location close to everything. Edwin was super nice and helped us out with shipping a package back home. Pookie the cat is cute and soft!,0,1,0,0,0,,1,,0,,0,
2927,You get what you pay for here...Amsterdam is very pricey. Edwin is a great host and super sweet. If you just want a place to crash and don’t mind a pretty busy neighborhood that is noisy all night then go for it. I am a terrible sleeper so it was not for me. Also others mention the steep stairs...if that’s at all an issue because you have a big piece of luggage or have climbing issues this is something to be mindful of.,0,0,0,0,0,,0,,0,,0,
8178,"Das Hausboot von diewert ist ein perfekter Rückzugsort für einen Wochenendausflug. Es ist alles sauber und gemütlich. Die Kommunikation ist etwas schwierig. Parkplätze bucht man am besten online in dem Parkhaus in der Nähe Q-Park (20€/Tag), da die Parkplätze auf der Straße wesentlich teurer sind. <br/>Ich würde diese Unterkunft jedem weiter empfehlen!",1,0,0,0,1,,0,,0,,0,
971,Daan is very helpful. He contacted me before the trip and gave clear directions to his boathouse. The place is clean and location is fantastic. Walking distance to metro and shopping street with great food around the corner!,1,1,0,0,1,,1,,0,,0,
6687,"The flat is great, the beds are comfortable... the location is good too with a lot of nice stuff around. <br/>Joanna is very helpful and had few recommendations. Will probably go back if I am in Amsterdam :)",0,1,0,0,0,,1,,0,,0,
8575,Very good location. Clean and we found everything we needed in the flat. Margot is a great host.,1,1,1,0,1,,1,,1,,0,
2020,Flip’s houseboat is ideally located not far from the station but in a quiet neighbourhood. The space is great and we had everything we needed for a fabulous stay. Flip is a helpful and friendly host who helped us make the most of our visit. We really appreciated the bikes and the canoe!,0,0,1,0,0,,1,,1,,0,
9054,"Excellent location! Beautiful home. We had a very friendly welcome, privacy, and very pretty courtyard. Everything you need is only a few minutes walk away - many great restaurants, bars, supermarket, post office,  coffee, canals, and Amsterdam splendor. But most of all, Shawna and co were all super sweet. Our next trip we will plan on staying again for sure.",0,1,1,0,0,,1,,0,,0,
952,The host canceled this reservation 33 days before arrival. This is an automated posting.,0,0,0,0,0,,0,,0,,0,
5359,Ein zauberhaftes Hausboot mit sehr freundlichem „Hausherr“.<br/>Unsere Erwartungen wurden übertroffen und wir werden auf jeden Fall wieder kommen. <br/>Es fehlte uns an nichts. <br/>Großes Dankeschön 🍀,0,0,0,0,0,,0,,0,,0,
3857,"Edwin seems a very nice guy, he's definitely easy to talk to, and if you've got any questions, he answers within minutes. The room was clean and comfortable, the place is in the heart of the city, close to everything of interest, and it's easy to find. The only drawback is that it can be quite noisy at night, but hey, it's Amsterdam, baby!<br/>Many thanks once again, Edwin!",1,1,0,1,1,,1,,0,,1,
5861,Für uns war es das erste mal auf einem Hausboot zu übernachten. Es hat uns sehr gut gefallen. Das Boot war sehr sauber und mit allen Dingen die benötigt wurden liebevoll ausgestattet. Wir haben gut geschlafen. Die la ge ist ausgezeichnet. Etwas mehr als 10 Minuten Fußweg und man ist direkt im Zentrum von Amsterdam. Um die Ecke gab es mehrere tolle Lokalitäten. Ganz klare Empfehlung.,1,0,0,0,0,,0,,0,,0,
3145,"Edwin and his place are simply lovely. He was friendly, accommodating with luggage, and helpful with advice. Yes, the street is loud at night, but location couldn't be better. Thank you very much, Edwin! See you next time.",0,0,0,0,0,,1,,0,,0,
3305,"What a lovely place! Very comfortable apartment that has everything you need. Very clean bathroom, nice little backyard and great neighborhood. Mirjam was always there to answer phone calls or messages. Would definitely come back!",1,0,1,0,1,,0,,1,,0,
3006,"MIrjam and Didi are great hosts, thanks for everything . . . we'll be back.<br/>",0,0,0,0,0,,0,,0,,0,
9001,"Gordon and Amy's place was very easy to find and located close to restaurants and supermarkets. Their place is also 10-15 minute walk to the train station.  We were only able to meet Gordon he was very welcoming and friendly and gave maps and other useful information about amsterdam.  <br/><br/>The room and bathroom were very clean. Being a B&B,  they provided us with  a variety of breakfast each day which was something to look forward to each morning before heading out on another adventure.   ",1,1,1,0,1,,1,,1,,0,
7770,Raymond è davvero un ottimo host.<br/>Siamo stati un weekend e il soggiorno è stato molto piacevole.,0,0,0,0,0,,0,,0,,0,
7438,Great location and hosts are easy to reach by phone.<br/>A few things to keep in mind:<br/>The place is called bed & breakfast but they don't provide breakfast.<br/>There is no sink in the kitchenette so you need to use the washroom sink.<br/>There is no microwave.<br/>The water pressure in the shower is very low and it takes time to get hot water.<br/>The chandelier in the main room works inconsistently which can be a real pain.  Hopefully this will be fixed.<br/>The fireplace is fake (lights only).<br/>The heater did  not work on our last day.<br/><br/>The rest is great and it is very centrally located.  They provide coffee pods and sugar.,0,1,1,0,0,,1,,0,,0,
7942,Diewert was a great host with quick communication and was very accommodating with our needs of dropping bags off prior to check in. Nice quiet location but with the use of the bikes he has on site this made getting anywhere in Amsterdam very easy for us. Thanks for a great experience.,0,0,0,0,0,,1,,0,,0,
9238,"Amy and Gordon were great hosts. The room has everything you need plus a lovely view of the traditional buildings on the street. Every day Amy and Gordon will tidy your room and leave danish, yoghurt orange juice and milk for you. We loved out tay here and would definitley stay here again.  ",1,0,1,0,1,,0,,1,,0,
1056,"Un apartamento genial en un barrio muy tranquilo con una parada del tram 14 delante de la puerta que te lleva al centro en 15 minutos. El apartamento tiene todas las comodidades necesarias (lavavajillas, lavadora, secadora, wifi, calefacción central,..). No pudimos conocer a Harriet pero en todo momento estuvimos en contacto con ella, siempre atenta a todas nuestras preguntas y solicitudes. Una experiencia muy buena y recomendable.",0,1,0,0,0,,1,,0,,0,
3154,We had a good time here in Amstrdam. Mirjam and her husband Didi were very kind and gave us useful information about visiting the city. The location of Mirjam's apartment was perfect since. It was easy to go the centre of the city and the train station by bus or tram. The bus station is right across the street. ,0,1,0,0,0,,1,,0,,0,
3787,"Awesome!!!! We had a great time, very relaxing and still close enough to the centre to stroll in anytime. The houseboat is great and a lovely place to visit, we would go back any time.",0,0,0,0,0,,1,,0,,0,
9189,Couldn't have picked a better location. Shawna and family were very accommodating and the back room had everything you could need. Only shame that our travel plans did didn't allow for a longer stay.,0,0,1,1,0,,1,,1,,0,
7825,"Fantastic location! Quiet residential area on a canal but within 30 mins walk of the centre and with lots of nice parks, cafes and restaurants nearby. The room was clean, well fitted and comfortable; perfect for a short stay. The host was friendly and available to give lots of tips on where to go and what to see. We will be back! ",1,1,0,0,1,,1,,0,,0,
7539,"Prachtige kamer in inderdaad een rustige buurt. Toch ben je vrij snel in het centrum van Amsterdam. Wij hebben dit weekend gecombineerd met een optreden in de North Sea Jazz Club, wat op loopafstand is. <br/><br/>Diewert hebben we niet gezien, maar alles was goed geregeld met een codeslot. Verder was het contact via sms/mail prima.<br/><br/>Een aanrader voor een weekendje Amsterdam!",0,1,0,0,0,,0,,0,,0,
7231,Immer wieder gerne!,0,0,0,0,0,,0,,0,,0,
