Index,comments,cleanliness,location,luxury,family_friendly
1242,"Very good place to visit Amsterdam between the city center and museum place ! Room comfortable, small bathroom, all you need for few days ...",,,,
1243,Top Lage und schönes Zimmer. Haus ist zwar hellhörig und das Bad ist sehr klein aber alles in allem trotzdem sehr zu empfehlen.,,,,
1244,"The location of the room is amazing, very central and close to lots of bars etc in the area without being loud outside.<br/> ",,,,
1245,Alex is a friendly host who gave us a warm welcome and explained the details of the house and the city. The location is perfect and we had a good stay! :) ,,,,
1246,"Excellent séjour. Logement très propre, bien situé, et conforme aux photos. Arrivée dans les lieux simple, claire et rapide. Seul bémol, wifi pas très performant. Je recommande vivement ce logement !",,,,
1247,Great location and Alex was very helpful.  Would totally recommend this to my anyone :)  ,,,,
1248,第一次也是最后一次使用airbnb。<br/>房价很贵 而且态度一点也不好。,,,,
1249,Très bien placé. Permet d'accéder à de nombreuses attractions d'Amsterdam pour quelques jours,,,,
1250,"Perfect location, comfortable bed",,,,
1251,Great location!  5 to 10 minutes by tram from Central Station or enjoy the sights and make the 15 to 20 min walk.  We had a great flat that overlooks the Main Street giving us a great view of the busy city below.  Our private bathroom was clean and efficient. The mini refrigerator was nice and gave us a spot to keep some snacks cold. We felt completely safe and secure our entire stay.  The central location gave us quick access to all of the sights and public transportation that takes you anywhere you want to go quickly.  We found great pubs and restaurants and even a fresh food market within walking distance of our home away from home.  Rembrandt square is just around the corner. Our host was great and did a great job communicating with us before our stay and was completely accessible to us if we needed him during our visit.  This is a nice home base to visit Amsterdam! ,,,,
1252,The location was great but be warned. The bathroom is very small and the room is not as well lit as the pictures show.,,,,
1253,"Perfect location, with a convenient coffee / croissant shop downstairs. The room was bright and sunny. ",,,,
1254,"I am 100% satisfied with my stay here. Looks like the pictures and has everything that was promised. Very comfortable bed, nice bathroom and all the extra that is needed (tv, hairdryer...). <br/><br/>The location is perfect for someone who want to experience Amsterdam by foot (but also really close to the tram). The road outside I busy but that can't be heard from the room. <br/><br/>We had breakfast at the café right next to the house. Can be recommended! ",,,,
1255,Perfect and central! We could walk everywhere and Alex was a lovely and helpful host! ,,,,
1256,"Alojamiento impecable, genial localización",,,,
1257,"Nice, cozy, small and clean apartment placed in the heart of Amsterdam. You can reach the City Centre and everything else within some minutes of walking. However, the price per night seems a little unjustified regarding the size of the apartment. In addition to that, the walls are wafer-thin, hence it is an old house. The house is situated next to a main street which might be very noisy, too. But this depends on the daytime. Nonetheless, the accommodation  is ideal for spending just a couple of nights. Alex, the host, has been very friendly, helpful and answered all our questions. We would recommend this apartment, if you are planning to stay in Amsterdam just for several days.",,,,
1258,"The room is very comfortable and private. Me and my mother are glad to stay in Alex's place, because he is so nice and willing to help us cope with issues. <br/><br/>It's good to live in central place, which means you can walk to any tourist attractions conveniently. Actually, Alex place just locates in the central line of Amsterdam, between the central station and Amsterdam national museum. <br/>",,,,
1259,The room is perfect for couples who want something within walking distance to Amsterdam's biggest attractions. It was clean and the bed was comfy. ,,,,
1260,Clean & comfortable. Alex was prompt with all communication so my experience with his accommodations were seamless. The room might be smaller than what you expect from looking at the pictures but it was plenty for what we needed. The only suggestion I have is to furnish the room with a full length mirror l or place the wall mirror lower. Some of us travelers are shorter than the native Dutch ;),,,,
1261,"The stay here was great. Me and my boyfriend have visited Amsterdam a number of times but this was our first airbnb. Please remember to bring your own towels and loo paper if you're staying for a while, these weren't replaced or replenished. Apart from that, everything was as expected. The location is great so it can be a bit busy at night. The downside to this was there was a man who claimed he knew Alexander and tried to enter our Room every night. Clearly intoxicated but luckily my boyfriend knows jujitsu and was able to fight him off night after night. <br/><br/>Apart from that, 5 stars Alex. Great stay",,,,
1262,"The location is GREAT! And the room was beautiful. I loved the wall of windows, and the old beam ceiling. It was decorated beautifully. ",,,,
1263,A beautiful place in a beautiful location! Pleasant host! Thank you!,,,,
1264,"Els gave my friend and I an excellent experience living in a cosy and beautiful house boat. I love the boat, the river view and cats:) Besides, both of us are amazed by Els' life and attracted by the life style! We hope to go again in our next European trip!",,,,
1265,"A very special place in the heart of Amsterdam, within walking distance of the centre and the beautiful Jordaan area.  Being on the boat was just perfect, so cosy, warm and secluded. Els was a lovely host with so much enthusiasm for this way of life that we almost wanted to sell up and take to living on the water!",,,,
1266,Very central location. Alex was easy to communicate with. Getting from the airport to the studio was a bit of a challenge and a walk especially if you have luggage. The stairs are super narrow which is challenging when carrying luggage. Very central location and close to all the fun and beauty of Amsterdam but the room was quiet and very comfortable. Wifi was a bit spotty but I would stay here again. Thank you Alex!,,,,
1267,"This flat is in easy walking distance of the city's main attractions. There were lots of great restaurants / bars very close by. The room was well presented and clean, although it is situated on a busy road. We slept well with the windows shut as it blocked out the noise, but might not be so ideal for someone looking for a peaceful, tranquil location.",,,,
1268,Great place to stay in a central location. Alex was great at communicating and setting up a check in time. Room is big and clean<br/>Wifi was a bit unreliable at times as there were multiple options to connect to. <br/>Close to great nightlife. 20min walk from Centraal station and close to the trams. <br/>Thanks Alex!!,,,,
1269,Great location. Alex was prompt at the agreed upon check in time and the room was bigger than expected and very clean.,,,,
1270,"Très calme la nuit , à proximité des commerces et du centre . Alex est un hôte très gentil , le logement très propre.",,,,
1271,"You can't go wrong with this place, in the heart of Amsterdam, on top of an amazing coffee shop and ice cream shop! <br/>The room is spacious, sunny, and just perfect, the bathroom could be slightly bigger!<br/><br/>Alex was very welcoming and responsive!<br/><br/>Amsterdam is simply amazing!!",,,,
1272,Perfect location. City center is very close to Alex's place. It's like a hotel room.,,,,
1273,Location was easy to find and accommodation is clean. Overall a good stay! Thank you for hosting us!,,,,
1274,"Alex's place is in a great location, close to many sights such as Rembrandt Square. There is also a tram stop really close by. Very convenient for exploring other areas of the city.  The building itself is quite old. You'll need to climb two flights of stairs to get to the room, which is a little dark. I would suggest putting brighter lights, as it makes for easier packing and unpacking. The wifi signal was weak and spotty at times, so it's not great if you are heavily reliant on wifi. The building is made of wood and quite old, so sometimes you can hear feel vibrations when neighbours slam their doors (so make sure you don't slam yours). Unfortunately, that's just part of staying in an old wooden apartment. The bathroom is a bit tight, and you will be instructed to leave the little window open, as there are no ventilators installed. As there's no heater in the bathroom, the bathroom will be very cold, if the weather is cold. Get ready to sit on a cold toilet seat, which also happens to be unusually high. Fortunately the shower doors help to keep the heat in while showering. If you stay here, watch out for the knobs that stick out of the bed rails. We jammed our hips into it several times, as the space between the bed and the wall and windows is quite narrow, and the room is dark. Also, there is no hot water boiler/electric kettle in the room (due to an incident with a previous guest, we were told), so you won't be able to make coffee or tea. Fortunately there are some really nice cafes and bakeries (go to <br/> C'est Magnifique at Leidsestraat 18) below and nearby. If not for the above-mentioned points, I would rate this room 5 stars, as the location is really good.",,,,
1275,"¡Hola!<br/>Si buscas una cama cómoda y además que el apartamento este bien ubicado, sin duda te recomiendo hospedarte aquí. Alex te entrega ls llaves de tu habitación y del edificio por lo que tus entradas y salidas son independientes, a demás de que fue puntual en hacerlo. En lo personal la habitación me encanto, no te llevas descripción alguna si lo comparas con la imagen.",,,,
1276,"About a week before we were due to arrive in Amsterdam we received three or four messages from the host concerning our check-in time. We had received others before this, however they appeared as automatic messages, and did not respond(This was our mistake, of course). A few on this occasion appeared to be automatic messages, however there were a few more after which were quite panicked and regarded our expected check-in time. Alex said that he had planned a trip to Germany and that he wouldn't be able to check us in and that we would have to pay a 25€ service charge for somebody else to wait and check us in. It was still a week before we were due to arrive, and we did not feel we needed to provide a check-in time this soon. While it is not Alex's fault that we did not respond to his messages initially, we found his responses quite blunt, and had a lot of emphasis on how the situation ""was not his fault"". At no point did we blame him for the situation, and we paid the charge for our check-in, which was within the times provided on his page, as he had to get somebody to wait for us.<br/><br/>The accomodation and ammenities were all up to standard, and it appears from his reviews that Alex is a nice guy and a thoughtful host. Perhaps we caught him at a bad time, but we felt his communication with us was quite rude and unnecessarily panicked. <br/><br/>Thank you for providing us with your home Alex.",,,,
1277,Really perfect place in city centre. Clean and nice room but a little cold. Alex was kind and helpful. We recommend this place.,,,,
1278,"Perfect simple space to be able to come back to after exploring the city all day. It is easy to walk to most parts of the city from here but is also in a quiet are so got a great night sleep (in an extremely comfy bed!). Also a good value for money for 2 poor students, so was able to leave us with some more cash to explore the city. Alex was a fantastic host. Would highly recommend.",,,,
1279,"Alex’s apartment was in a great location and is highly walkable, however our stay was not ideal. In a role where customer service and cultural competency matter a great deal, my wife and I found Alex to be demanding (he changed our check-in time without discussion or appreciation) and rude (I understand the Dutch can be direct in their communication, however the first thing Alex did was insult and offend us). As someone who deeply values the human interaction element of Airbnb, and with so many options in Amsterdam, I would not stay here again.",,,,
1280,"One of our favourite ever stays! Els welcomed us warmly to her boat which was the perfect base from which to explore the city. The perfect balance of warmth and privacy - we felt very much at home, despite being on the water! We highly recommend this place and hope to come back one day soon. Thank you! Rach + Gareth x",,,,
1281,"Els was there to greet me on my arrival, she provided me with accurate directions ahead of time and the neighborhood is lovely and friendly.",,,,
1282,Heerlijke plek om in hartje Amsterdam te overnachten...,,,,
1283,"Amazing location in the heart of the city. Nice decor. Alex was very down-to-business about the Airbnb, but respectful. We had some issues with the WiFi and the Fridge. <br/><br/>Will recommend mostly for the location.",,,,
1284,"Central but quiet as it is slightly away from bars and clubs. Really great location, loads of cafes and restaurants nearby. Room was good - bathroom was cold at times as we had to leave the window open. Bed was really big and really comfy after a long day. Lovely to stay for a weekend ",,,,
1285,"The room was clean and cosy and very centrally located. I wasn't expecting to have a fridge, so it was a nice surprise. We were able to come and go as we needed and didn't feel like we were imposing. It was a lovely stay right in the middle of what I assumed would be a very busy time of year. Christmas in Amsterdam is just beautiful.",,,,
1286,"The room is perfectly located for exploring Amsterdam and has the added benefit of a coffee shop underneath it, wonderful for your early morning cup of tea.<br/>The room is stylish and spotlessly clean and the bed is so comfortable you have to force yourself out in the morning!<br/>Thank you Alex for allowing us to stay in your beautiful home.",,,,
1287,"Very Nice place to take some days in Amsterdam, very close to some museums and the life in the city.",,,,
1288,Good place! A bit cold in the night didn't expect that and the bathroom is very small. But generally the location is AMAZING!! And it's perfect for 1/2 nights stay,,,,
1289,"Super logement, propreté et état impeccable. Emplacement parfait. Je recommande sans hésitations.",,,,
1290,"Great place, right downtown, very spacious. Thanks Alex! :)",,,,
1291,Super central Studio. Had a supernice stay.,,,,
1292,Alex met us at 2pm for check in and gave us some tips and guides for our time in Amsterdam! The apartment is in a great location and was perfect for a few days stay. The bed was SO comfy!! Would stay here again - thank you Alex!,,,,
1293,"Alex's place is in a great location for those who have never been to Amsterdam before. It is a short walk to any of the local tourist attractions, bars and restaurants.  The room was clean although quite small and simple but that was perfect for us who were not planning on staying in the room for very long other than sleeping and washing.  Only draw back was only one window opened slightly which made the room a bit stuffy at night. All in all a good stay though. Definetily recommend for those wanting to stay in a central location.",,,,
1294,"Great location. Alex was a good host,even bringing us a fan for an unusually warm April stay.",,,,
1295,"The location was very nice and walking distance to everything we needed. The room was clean and big, note that the building is older and doesn’t have an elevator.",,,,
1296,Everything was just as expected and we had a wonderful time “somewhere els“ <3,,,,
1297,"The boat is in lovely place, clean and spacious.<br/><br/>The center is ont far. You can go to the center by foot or you can tale the tram verry easily.<br/><br/>The view is beautiful ",,,,
1298,"A melhor escolha da (Website hidden by Airbnb) certeza eu e meu marido voltaríamos na casa barco da Els. O lugar é super aconchegante, cama grande e muito confortável. Chegamos em Amsterdam numa noite fria e confesso que achamos difícil para encontrar o lugar, pois o GPS não conseguia identificar a rua. Ligamos para Els e ela foi muito simpática e explicou em detalhes como chegar. No dia seguinte, tivemos a bela surpresa de acordar com a vista maravilhosa da região. A localização é muito boa e fica a 5 minutos de caminhada da estação central. O único detalhe que me surpreendeu foi o tamanho do banheiro. Compacto e com sistema hidráulico diferente de um banheiro comum pois, obviamente, em uma casa barco não teria como ser igual. Nada que atrapalhasse nossa viagem e nem diminuísse nossa satisfação com o lugar. Lugar perfeito para casais que vão conhecer a cidade e, ao mesmo tempo, querem descansar em um lugar diferente do usual! ",,,,
1299,"Πολυ ωραιος χωρος, ο οικοδεσποτης ευγενεστατος. Το προτεινω ανεπιφυλακτα!",,,,
1300,"Clean and very nice location. Definitely value for money!!<br/>Only downside is the fact that you can hear every footsteps of the guests above very loud, and it seemed like our upstairs neighbors walked around a lot with shoes on.",,,,
1301,Everything was perfect!,,,,
1302,"We enjoyed our stay with Alex and loved the location. It was very easy to get around the city by walking or taking public transportation. <br/><br/>The building is very old and so our room was very hot for it being end of May/beginning of June. Our host offered us a 2nd fan which helped but the windows can’t be opened very much so it is very hard to get the room ventilated. Also, the WiFi was a bit unreliable. ",,,,
1303,Clean stylish room close to everything. Thank you,,,,
1304,"Le foto della Camera rispecchiano esattamente la realtà. Camera molto pulita, confortevole e vicina al centro. Alex (host) è stato disponibile sin da subito ed è molto gentile. La consiglio assolutamente, é stata una bellissima vacanza",,,,
1305,"El departamento de Alex es muy confortable y limpio, con todos los elementos necesarios para una buena estadía,  nos recibió con una botella de agua y vino de recepción, un excelente detalle, ",,,,
1306,The apartment of Alex is very nice and the perfect choice to enjoy Amsterdam. It’s near everything! We re happy we spent our days there.,,,,
1307,Excellent location and lovely room! ,,,,
1308,"Had an awesome stay.  Great location, walking distance from everything. We’ll be back for sure.",,,,
1309,"Thank you for being so accommodating, communication with yourself was so easy! The area was perfect for us not to close but no so far 10 min walk from city centre loved it! We would revisit most definetly",,,,
1310,Alex has a nice little apartment within walking distance of all the sights of Amsterdam.  Alex was very hospitable and gave tips of what to see on our trip.,,,,
1311,Location is awesome! Everything you need nearby. And we loved sitting on the rooftop deck and watching the Saturday traffic on the Amstel.,,,,
1312,The fantastic ratings on Daan's houseboat are well-deserved. It's a wondeful place to take in Amsterdam. We stayed for a week and loved sitting on the rooftop deck and watching the boats on the canal. ,,,,
1313,Our 11 year old loved staying on a houseboat - the only problem was getting him to leave! <br/><br/>Despite being in the centre of Amsterdam and across the canal from bars and restaurants - it was surprisingly quiet - even on Saturday night. We loved the outdoor rooftop deck. Will never forget sitting there with a beer watching all the locals and tourists cruise by in their boats. <br/><br/>Daan was easy to deal with and relaxed. He only lives two doors down and popped in to see us a couple of times - which was great. We really appreciated that he looked after our bags after checkout so we could enjoy another few hours in Amsterdam.,,,,
1314,"This is an amazing stay and would love to come back again. The boat was in a prime location. Sitting on the deck, taking in the views phenomenal.  Only deduction is a little musty (It is on water so a little to be expected) and some ants ( didn't leave food or dishes which resolved issue). All in all, great place!",,,,
1315,"We loved this houseboat!!! It was our first time in Amsterdam and being right on the canal/Amstel River could not have been better! Having the terrace on the deck with chairs/table overlooking the river was incredible. Could not have imagined a better way to experience the canals, right in the middle of it without having to take a canal tour. We had a couple drinks up there and waved to the boats going by -- a lot of fun. We were a little nervous about what the houseboat would be like, but it was very close to the photos and was just perfect for our group of 4. I think it could be tight with a group larger than 4 for sleeping purposes since it was just the one bedroom with a queen size bed and another bedroom with 2 small twin beds. The living room has an L-shaped couch but I'm not sure that it was a pull out, so I think 4 would be the max amount of people. However, it was still quite spacious and clean, with nice working facilities (we were nervous the bathroom facilities wouldn't be full-sized or work well but they were just like a regular apartment). I was really surprised by how big the living/kitchen area felt. Daan and Monica were both very accommodating and we were able to leave our bags at Daan's boat (just a couple boats down) on our last day, which allowed us to continue exploring the city since our flight wasn't until that evening. That was a big plus for us because the one thing you don't always get with AirBNB vs a hotel is somewhere to check your bags, so that was very good for us. A great experience and I think it made Amsterdam the highlight of our trip to Europe! Highly recommend!",,,,
1316,Daan took great care of us -- great location and wonderful way to do Amsterdam. Only wish we could have had more sunsets on the canal.,,,,
1317,"Excellente situation pour visiter Amsterdam à pieds ou à bicyclette,  tout est à proximité,marché,supermarchés,musées. On est tout près de la gare.La terrasse est merveilleuse et plonge le voyageur au cœur de qui semble être la vie d'Amsterdam,avec une petite réserve, le passage occasionnel de barques remplies de fetards diffusant de la musique à fort volume la nuit. Les lits sont excellents, la salle de bain pratique et si on aime cuisiner, la cuisine (Website hidden by Airbnb) d' un four et d'une bonne table de cuisson, très agréable pour prendre des repas faits maison sur la terrasse ou perchés sur les tabourets du séjour , on ne perd jamais de vue la rivière et c'est  magique.",,,,
1318,The houseboat was better than we could've imagined. We spent so much time watching other boats go by from the roof top deck. Daan's houseboat is in the perfect location and Daan offered many great recommendations for us.,,,,
1319,Det er et fantastisk sted. Båten er meget romslig og det var en fornøyelse og sitte på dekk og se alle kanalbåtene seile forbi. Det er gå avstand til absolutt alt. Det var meget rent og pent. Vil bare takke Daan og Monica for et fantastisk flott opphol og jeg anbefaler dette videre med glede. I tillegg til alt dette fikk jeg avtalt med Daan tidlig innsjekk og sen utsjekk siden vi hadde tidlig og sent fly inn/Ut av Amsterdam. Helt topp,,,,
1320,"The house boat is everything it needs to be: cool, comfortable and perfectly located. ",,,,
1321,"This houseboat was PERFECT! My mother and I had 24 hours in Amsterdam and thought to make the best of it by staying on a houseboat. It was perfectly located in the center, in an area that was close to a few restaurants/cafes but also close to the tourist spots we'd want to hit (which we didn't spend too much time at). We couldn't help but spend a few hours on the comfortable deck with a fantastic view of the canal and buildings. The inside of the boat was clean and had lots of windows. We could have stayed much longer as it felt like a flat and not a boat! Daan himself was extremely helpful and communicative. We were also able to secure a taxi very early in the morning. If in doubt, just book this wonderful houseboat! You won't regret it. ",,,,
1322,Daan's houseboat offers a great spot to stay in Amsterdam and an incredible view of the boats passing by on the water.,,,,
1323,"Perfect! In the center of the city with nice stores in the neighbourhood. Easy Check-in, very clean and comfortable room!",,,,
1324,Right in the city center. Clean space with a comfy bed and private bathroom (with small shower). Alex was very friendly and provided suggestions about things to do in the city. Overall great experience.,,,,
1325,Great location   ,,,,
1326,Alex’s place is perfect! Location is great and perfect size for just 2 of you. He was very helpful if we needed anything and always contactable. <br/>Only problem we had was the place was extremely warm as there is no aircon and only one window slightly opens. Also the wifi connection is very poor.,,,,
1327,"Chambre très sympa, très propre et merveilleusement bien placée.<br/>Merci alex ",,,,
1328,Thank you very much ,,,,
1329,"Amazing location, walking distance from all major attractions. The space was very clean and Alex is very accommodating and quick to respond to messages ",,,,
1330,The location is probably the best part. Alex’s place is very clean and quiet. Great place to refuel so you can see the city!,,,,
1331,Everything is ok! Slow wi-fi.,,,,
1332,"Good location, had a bad check in experience since he was not responding.",,,,
1333,"Desde los mensajes que te manda es grosero y poco profesional, por tal razón, no quisimos ni siquiera llegar a su hospedaje, le dije que haría check in y a qué hora  y no me respondió, así que asumí que no me esperaría porque ya me había amenazado que si no le contestaba pronto no me quería ver en su casa!! Así tal cuál con esas palabras, por eso me puse a ver sus evaluaciones y me di cuenta que ya había tratado a más personas así que , por lo tanto no llegamos. El trato debe ser cordial desde un principio y el no lo es así que no lo recomiendo en lo absoluto.",,,,
1334,Perfect place in Amsterdam. Felt like home. Very clean. Quiet.,,,,
1335,"Alex's place has very good location - close to the Dam and central station, and has many restaurants and shops within 10min walking distance. Closest tram station is 200m away.  The room is very clean, good value and highly recommended!",,,,
1336,We left booking our accommodation a bit late so weren't really sure what to expect when we arrived but we couldn't have been more pleased when we arrived! Perfect location within easy reach of all of the main tourist attractions. Lovely comfy bed and blackout curtains which helped block out some of the noise from the road (which wasn't particularly loud even when the curtains were open) Would definitely recommend staying here if you are visiting Amsterdam.,,,,
1337,"I had a very nice trip to Amsterdam. The room was clean and like in the pictures. Those big windows in the morning are an amazing boost for the day. The house is very well placed. You are basically near everything you have to visit in Amsterdam. We didn't used any tram, we walked and it was very cool. I recommend this place and if I will come back I guess I will come back to Alexander.",,,,
1338,I had a nice stay here. The location was good and the place was super clean. I’d stay here again.,,,,
1339,"Hébergement original dans une petite péniche au bout d'un quai à 15mn à pied (d'un bon pas) de la vie citadine où à quelques mètres d'un arrêt de bus (le 48, toutes les 20mn). Lieu très calme propre à une certaine méditation. Intéressant comme concept, ne serait ce que dans l'observation d'un mode de vie alternatif partagé par d'autres Amesteldamois. La cabine est traitée avec bon goût et simplicité dans des tons reposants. Malheureusement, la cuvelle des WC combinée à la douche isolée dans la cabine (la chambre) par un simple pare douche en pastique branlant , si elle est peut être ""authentique"" n'en est pas moins ""tue l'amour"". <br/>En ce sens, le prix réclamé me semble excessif. Dommage.<br/>Else a été discrète, est sans doute aurait elle été efficace si nous avions fait appel à elle.",,,,
1340,"A truly lovely place to stay, we stayed for three nights during January and thoroughly enjoyed staying on the 'Cornelia'. The boat is a great place to stay and is incredibly warm, even in the depths of winter. We found the view from the Captain's cabin excellent and was a great place to sit and reflect. <br/><br/>We will never forget our trip to Amsterdam when we stayed on the 'Cornelia'. Many thanks to Els for being a wonderful host. ",,,,
1341,"Bei Els ist es (Website hidden by Airbnb) ist klein, niedlich und ein sehr ruhiger, erdender und zum Entspannen einladender Ort, an dem man das Wasser genießen und die Seele baumeln lassen kann....",,,,
1342,"The stay at Alex' apartment has been very nice. The flat is very well located and you walk to the centre in under 5-10 minutes. The bed is insanely comfortable. Just the bathroom is a little tiny, but that was no big issue. <br/>We can recommend the place very much if you want to stay for a short trip :)",,,,
1343,Très agréable et super emplacement. <br/>Je le recommande fortement.,,,,
1344,"Me hospede en el piso de Alex. <br/>Es muy hermoso y la ubicación es buena, pero lo que realmente me hizo pasar mal y dudar en el momento de si perder mi dinero e irme a un hotel o quedarme allí fue el trato con Alex. Desde el momento 1 fue bastante rudo con los mensajes solo porque yo estaba trabajando y no los podía leer. Le expliqué y ya me había molestado bastante su forma de hablarme. <br/>Luego tuve otro problema cuando llegue a amsterdam, habíamos arreglado que me iría a buscar y me llevaría a la casa. Llegue y Alex esperaba que yo pudiera llegar sola a una terminal de salidas siendo que iba por primera vez a amsterdam, no tengo porque conocer el aeropuerto y además algo obvio. LLEGAMOS EN ARRIBOS Y SALIDAS ESTA AL OTRO LADO DEL AEROPUERTO. la comunicación fue malísima y el no nos habló nada bien. Es bastante grosero. Realmente me saco de quicio la situación y me tomé un uber porque era muy complicado. <br/>La casa es hermosa, pero no se si vale la pena, el trato es muy importante y es la primera impresión.",,,,
1345,Overall decent,,,,
1346,"Alex's room is in a great location and is really good value for money (if you don't check in early/late)! <br/><br/><br/>The room had all the basics and was in such a fantastic location, especially given the reasonable price. The bed was comfortable and we had all the basics we needed. We only stayed for one night and it was perfect for us for one night. If you wanted to stay longer, it may be worth noting that the bathroom is pretty small and there are no tea making facilities/only plastic cups for drinking water from the bathroom tap. <br/><br/>My main negative was that, as soon as we booked, we received an email with a list of extra costs for early/late check in (€25/35!), baggage storage etc. and it came across incredibly unfriendly and gave me the impression that the host was going to try to find any excuse to charge me extra. But everything was fine and we didn't pay anything extra. <br/><br/>Overall, the room was perfect for us for a one night stay and really good value. Thanks!",,,,
1347,Great apartment in a central location. We were able to walk everywhere and everything was in a 10-15 minute radius. Small apartment but cute and worth it for your trip to Amsterdam.,,,,
1348,Alex was very prompt with our check in and check out! Everything was clean and in order. Great location for seeing the city!,,,,
1349,"Very clean and cosy apartment with a central location! The room is well equipped and has a nice view on the busy street, but nevertheless it is very quiet inside. The bathroom is really small, but very clean and modern!",,,,
1350,"I wouldn't stay here again unless there was literally no other option, or that I didn't have enough time to book elsewhere.<br/><br/>The apartment is VERY NICELY located, with a Grocery store less than 5 minutes away.. and a very comfortable bed. That's all the good things I have to mention.<br/><br/>Wi-Fi did not work ANY of the days we stayed there, not even the ""other"" networks they recommended us to connect to, in practicality we were OFFLINE while here.<br/><br/>The apartment building is more like a poorly renovated area, with a poorly built, MINUSCULE staircase, no elevator (which we knew), and literally dirty, messed up drywall that hasn't been cleaned since construction.<br/><br/>This is nothing more than a bed in a room with a door.. there's no love in this apartment, there's nothing worth writing about in it, it's literally barebones minimalism, in a good location.",,,,
1351,Nice room,,,,
1352,A beautiful boat tucked out of the way but yet within walking distance of central Amsterdam. We loved the views over the water and the quietness of the location.  Els was a great host being flexible with arrival and departure times. We would definitely stay again next time we are visiting Amsterdam. ,,,,
1353,"Nice and quite, beautiful boat and bedroom, in a good location (15-20 minutes walk to central station)",,,,
1354,"A fantastic boat in a beautiful setting within walking distance from all the action of Amsterdam. An easy transfer from the airport by either train, bus or taxi (I don't recommend taxi as very expensive) and Els was so helpful and approachable. ",,,,
1355,"Alexander had a nice room in an amazing location to sight see. It was a little noisy at night, as you can hear every movement of the person staying above you. Also we couldn’t get the tv and the internet to work. We weren’t in the room much though, so that wasn’t a major issue for us. The bed was comfortable, and the room was nice overall. We would stay again.",,,,
1356,"Alexander’s place was perfect for our stay in Amsterdam. Not only was the room very clean and conveniently located, but when issues arose, Alexander helped us to find a solution quickly and efficiently. Thanks again for a wonderful stay!",,,,
1357,Very cozy room and not far from the city.,,,,
1358,Great place in a central part of Amsterdam. Highly recommend,,,,
1359,"The room is cosy, exactly as we see in the pictures. the building is located near the center and the street is quiet. Alexander was not there on this period but his friend Zika help us a lot in everything 😊",,,,
1360,Lovely room in a perfect location for a long weekend in Amsterdam. We were able to walk everywhere which was great. The room was cosy and the bed was lovely and big.,,,,
1361,The apartment is in an amazing location and all you need for a short break away.,,,,
1362,Fantastic Location for Amsterdam Central! Clean and tidy perfect for a night or 2.,,,,
1363,Good place for a weekend trip. Alexanders friend was helpful for setting everything up.,,,,
1364,"Very bad experience.<br/><br/>He glued the chewing gum on the pillow, And Alexander Always Late Reply, And He said he need to work, will give us the key very late when we’re coming.<br/>This guy is a joke, Do not try to Sleep here.",,,,
1365,Cute little place perfectly located in the center. Wish we stayed longer.,,,,
1366,Perfect location right in the middle of everything! Alexander was quick to check us in and the place is well maintained!,,,,
1367,"Alexander’s apartment was in a great location, within walking distance to all major attractions. It was very clean and everything we could need was provided.",,,,
1368,"Schönes Zimmer, geschmackvoll eingerichtet, zentral gelegen, sauber, kleines Café gleich nebenan",,,,
1369,We had a nice stay at Alexander’s studio.  Studio was clean and in a prime location. Just a few notes before booking. The steps leading to the studio are very steep<br/>And tight. The studio is a lot smaller than I anticipated but good enough for me and my girlfriend. The bathroom also is very small and toilet is high off the ground.,,,,
1370,Great location and great host.,,,,
1371,The location was great! In a nice part of town that seemed pretty easy to find everything. The area is pretty quiet at night and the neighborhood seemed safe. there's a coffee shop below that has great croissants. The wifi access was a little poor and we struggled with that. Overall a great experience.,,,,
1372,"Lovely modern room in an ideal location, within walking distance of all the attractions. Perfect for couples",,,,
1373,"This place has an amazing location. Walking distance from every where you would want to visit in Amsterdam. Very basic, small studio apartment.   Poor WiFi signal, be prepared to use cell if necessary.  Also TV reception was bad so if you hang out there at all, make sure you have some sort of entertainment.  The host tries to hit you up to pay extra for amenities but just say no. Toilet is oddly high off the ground, and if you visit during the winter the bathroom will be cold.",,,,
1374,All was as described. Would recommend for anyone who just needs a private room with own entrance and the best location in Amsterdam,,,,
1375,"The room is placed nicely in the centre of Amsterdam within walking distance from a lot of place but even better, a tram goes right outside. Alexander is a great host warming us to the city as we checked in. Thank you for hosting us, looking forward to next time!",,,,
1376,"If you have the option, stay with Alexander. The place is close to everything, quiet and clean. We we're able to get everywhere very easily. There is a cafe downstairs to get your morning espresso as well! Very convenient! The bed was super comfortable and we slept amazingly!",,,,
1377,Wonderful place in a great part of town!,,,,
1378,"Ce séjour fût incroyable ! Le logement est top, le lit juste incroyable. Emplacement idéal à proximité de tout. À une prochaine fois j'espère avec grand plaisir",,,,
1379,The apartment is in a good location to walk and use transit.  The price for the apartment is great!,,,,
1380,Great location for getting anywhere in Amsterdam.,,,,
1381,Absolutely fantastic place that is central to everything. We loved everything about the apartment really easy and simple place. If you want to stay somewhere local this is the place,,,,
1382,"The location of this appartment is just ideal (Centraal, Dam Square, Vondelpark...)! The place was really clean (room and bathroom) and in a typical house ! Everything was just perfect!!! I definitly recommand this place!",,,,
1383,q,,,,
1384,This place was great for our visit to Amsterdam! The location is great and really convenient for all the different locations we wanted. <br/>The apartment was basic but had everything we needed. <br/>The bed was extremely comfortable!,,,,
